Year,fossil-fuel-and-industry,land-use-change-emissions,atmospheric-growth,ocean-sink,land-sink,budget-imbalance,emissions-total,sinks-total
1936,1.13,1.49599506869888,0.757688,0.673925,0.366336360809249,0.828045707889633,2.62599506869888,1.79794936080925
1937,1.209,1.50622789646149,0.73776,0.673775,0.415402405903486,0.888290490558001,2.71522789646149,1.82693740590349
1938,1.142,1.51323151528168,0.71338,0.673425,0.534965125865899,0.733461389415778,2.65523151528168,1.9217701258659
1939,1.192,1.51584488010407,0.67098,0.673255,1.29032166620097,0.0732882139030937,2.70784488010406,2.63455666620097
1940,1.299,1.54284797510529,0.606108,0.673305,1.0022599068968,0.560175068208481,2.84184797510529,2.28167290689681
1941,1.334,1.56634893068695,0.52258,0.66803,0.358144683377561,1.35159424730939,2.90034893068695,1.54875468337756
1942,1.342,1.56159664547729,0.4293,0.66835,0.845205432130242,0.960741213347053,2.90359664547729,1.94285543213024
1943,1.391,1.55399248021698,0.3339,0.668845,1.07227384048961,0.869973639727367,2.94499248021698,2.07501884048961
1944,1.383,1.54388857849121,0.259276,0.66985,0.04689499241542,1.95086758607579,2.92688857849121,0.97602099241542
1945,1.16,1.53248889881897,0.214332,0.671235,0.590320052220058,1.21660184659891,2.69248889881897,1.47588705222006
1946,1.238,1.5227885255661,0.203096,0.678325,0.374564924325505,1.5048026012406,2.7607885255661,1.2559859243255
1947,1.392,1.51210137602997,0.214968,0.681085,1.0969846285495,0.911063747480469,2.90410137602997,1.9930376285495
1948,1.469,1.49599039733124,0.249948,0.68902,1.07917712957249,0.946845267758745,2.96499039733124,2.01814512957249
1949,1.419,1.47055954367065,0.302948,0.69308,0.622858667214903,1.27067287645575,2.88955954367065,1.6188866672149
1950,1.63,1.55048181860352,0.362096,0.702545,1.97015033476921,0.145690483834303,3.18048181860351,3.03479133476921
1951,1.767,1.59804619575501,0.418488,0.71233,0.785054235075993,1.44917396067901,3.365046195755,1.91587223507599
1952,1.795,1.61714160261536,0.479332,0.7284,-0.150587911095517,2.35499751371087,3.41214160261536,1.05714408890448
1953,1.841,1.64450255724335,0.547384,0.74464,1.02005890728811,1.17341964995524,3.48550255724335,2.31208290728811
1954,1.865,1.67346043480682,0.622008,0.756845,0.890036611097906,1.26957082370892,3.53846043480682,2.26888961109791
1955,2.042,1.69799640414429,0.699176,0.76967,1.9603433454121,0.31080705873219,3.73999640414429,3.4291893454121
1956,2.177,1.72999710087585,0.774436,0.78329,2.46454813184264,-0.115277030966789,3.90699710087585,4.02227413184264
1957,2.27,1.75696702555847,0.869836,0.792965,0.800261739812128,1.56390428574634,4.02696702555847,2.46306273981213
1958,2.33,1.78747207704926,1.01972,0.807815,0.0508549431890862,2.23908213386017,4.11747207704926,1.87838994318909
1959,2.41724007382511,1.81036466770172,2.0448,0.756759356352744,0.564196888734868,0.86184849643922,4.22760474152683,3.36575624508761
1960,2.55022424622909,1.65224927909851,1.5123,0.790414326155164,1.33215072342371,0.567608475748723,4.2024735253276,3.63486504957888
1961,2.55618318487588,1.57468007059479,1.6614,0.680990171885723,0.687426336892675,1.10104674669227,4.13086325547067,3.0298165087784
1962,2.64689750610552,1.52651889082336,1.1928,0.75344512520651,1.31882951266375,0.90834175905862,4.17341639692888,3.26507463787026
1963,2.79680589952968,1.46765591162109,1.2141,0.887891989579726,1.09168321585204,1.07078660571901,4.26446181115077,3.19367520543176
1964,2.9423055079238,1.4144130096283,1.0437,1.0380866738943,1.47560435654601,0.799327487111784,4.35671851755209,3.55739103044031
1965,3.07897814686097,1.36290553652954,2.343,1.17209193979978,0.535499045953592,0.39129269763714,4.44188368339052,4.05059098575338
